group,routeHash,routePreview,firstEdge,lastEdge,edgeCount,vehicleCount,meanPredDuration,meanTruthDuration,bias,MAE,RMSE,medianAbsError,p90AbsError,p95AbsError,maxAbsError,underCount,overCount,underCliffCount,overCliffCount,underNearCliffCount,overNearCliffCount,severeAbsErrorGt1000Count,topAbsErrorVehicleID,topAbsErrorPredDuration,topAbsErrorTruthDuration,topAbsErrorSignedError,departMin,departMax,exposedModifiedSignals,modifiedSignalExposureRate
east_bottleneck,e6c16ff10116,-E4 -> -E0 -> E2,-E4,E2,3,334,71.90718562874251,78.41317365269461,-6.505988023952096,6.505988023952096,6.651954825012869,6.0,8.0,9.0,11.0,334,0,0,0,0,0,0,east_bottleneck_veh_000896,43.0,54.0,-11.0,94000.0,103990.0,J22,1.0
east_bottleneck,8fec84d97ae3,-E5 -> -E13 -> E20 -> E19,-E5,E19,4,334,209.0868263473054,215.5868263473054,-6.5,6.5,6.653754961660398,6.0,8.0,9.0,12.0,334,0,0,0,0,0,0,east_bottleneck_veh_001772,180.0,192.0,-12.0,94000.0,103990.0,J21;J22,1.0
east_bottleneck,160fb44579b4,-E5 -> -E13 -> E12 -> -E11 -> -E18,-E5,-E18,5,334,210.0868263473054,216.54790419161677,-6.461077844311378,6.461077844311378,6.609283980170539,6.0,8.0,9.0,14.0,334,0,0,0,0,0,0,east_bottleneck_veh_001195,181.0,195.0,-14.0,94000.0,103990.0,J17;J21;J22,1.0
east_bottleneck,91530330da2b,-E4 -> -E0 -> -E13 -> -E14,-E4,-E14,4,334,171.90718562874252,177.97904191616766,-6.07185628742515,6.07185628742515,6.432049244605482,6.0,9.0,10.0,14.0,334,0,0,0,0,0,0,east_bottleneck_veh_000414,143.0,157.0,-14.0,94000.0,103990.0,J21;J22,1.0
east_bottleneck,098e35e118ee,-E4 -> E3,-E4,E3,2,334,44.99101796407186,50.40119760479042,-5.410179640718563,5.410179640718563,5.629530776758137,5.0,7.0,8.0,12.0,334,0,0,0,0,0,0,east_bottleneck_veh_000437,43.0,55.0,-12.0,94000.0,103990.0,,0.0
free_all,529f6a3ed00c,E9 -> -E12 -> E20 -> E15 -> -E0 -> E5,E9,E5,6,50,135.2,148.52,-13.32,13.32,25.242028444639704,8.0,11.0,96.0,100.0,50,0,0,0,0,0,0,free_all_veh_000452,93.0,193.0,-100.0,0.0,10000.0,J17;J21;J22,1.0
free_all,6ee37cdd0209,E9 -> -E11 -> -E18,E9,-E18,3,50,55.4,68.56,-13.16,13.16,22.452616773997637,7.0,12.0,75.0,77.0,50,0,0,0,0,0,0,free_all_veh_000620,26.0,103.0,-77.0,0.0,10000.0,J17,1.0
free_all,cc35ab4813b4,E17 -> E16 -> E15 -> E3,E17,E3,4,50,66.02,79.08,-13.06,13.06,20.18563845906292,9.0,15.0,72.0,73.0,50,0,0,0,0,0,0,free_all_veh_000572,32.0,105.0,-73.0,0.0,10000.0,,0.0
free_all,9ad069c9b349,E9 -> -E12 -> E13 -> E5,E9,E5,4,50,84.68,96.96,-12.28,12.28,24.64305175906588,7.0,9.0,96.0,98.0,50,0,0,0,0,0,0,free_all_veh_000453,41.0,139.0,-98.0,0.0,10000.0,J17;J21;J22,1.0
free_all,e6c16ff10116,-E4 -> -E0 -> E2,-E4,E2,3,50,67.56,78.34,-10.78,10.78,24.035390573069538,5.0,8.0,95.0,96.0,50,0,0,0,0,0,0,free_all_veh_000271,27.0,123.0,-96.0,0.0,10000.0,J22,1.0
free_all,36e8623f4e0a,E10 -> -E11 -> E16 -> E15 -> E4,E10,E4,5,50,138.28,148.84,-10.56,10.56,20.038962048968504,7.0,10.0,13.0,94.0,50,0,0,0,0,0,0,free_all_veh_000255,99.0,193.0,-94.0,0.0,10000.0,J17,1.0
free_all,09ec625f32b1,E9 -> -E12 -> -E14,E9,-E14,3,50,59.6,69.68,-10.08,10.08,22.47754434986171,5.0,8.0,87.0,93.0,50,0,0,0,0,0,0,free_all_veh_000783,26.0,119.0,-93.0,0.0,10000.0,J17;J21,1.0
free_all,346fa50c7560,-E19 -> -E16 -> E11 -> -E10,-E19,-E10,4,50,73.04,82.52,-9.48,9.48,20.33027299374015,5.0,8.0,17.0,99.0,50,0,0,0,0,0,0,free_all_veh_001304,33.0,132.0,-99.0,0.0,10000.0,J17,1.0
